Cell Folder,Field,Cells,Frames,Chosen Intensity Cutoff,Segmentable,,
1,4,1,120,130,Y,,
1,4,2,120,130,Y,,
1,6,1,48,150,Y,,
1,7,1,80,135,Y,,
1,9,4,90,175,Y,,
1,9,2,90,175,Y,,
2,1,1,77,110,Y,,
2,2,1,91,135,,fixed,
2,3,2,91,125,Y,,
2,3,1000,91,125,Y,,
2,4,1000,91,125,Y,,3
2,4,100,91,125,N,,
2,4,100,91,125,N,,
2,4,100,91,125,N,,
2,4,100,91,125,N,,
2,4,100,91,125,N,,
2,4,100,91,125,Y,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,6,100,91,110,N,,
2,7,5,91,110,Y,,
2,7,2,91,110,Y,,
2,8,1,91,115,Y,,
2,8,2,91,115,Y,,
2,9,1,91,110,Y,,
2,10,2,66,110,Y,,
2,10,1,66,110,Y,,
2,11,2,91,110,Y,,
2,11,3,91,110,Y,,
2,12,1,62,110,Y,,
2,13,2,91,110,Y,,
2,13,1000,91,110,Y,,
2,16,2,91,130,,,
2,16,3,91,130,,,
3,1,1,91,160,,,
3,1,2,91,160,,,
3,2,2,91,150,,,
3,3,1,91,150,,,
3,4,4,91,150,,,
3,4,3,91,150,,,
3,4,2,91,150,,,
3,5,3,60,150,,,
3,5,4,60,150,,,
3,5,1,60,150,,,
3,5,2,60,150,,,
3,6,1000,91,150,,,
3,7,3,91,400,N,,
3,7,1000,91,150,N,,
3,7,1000,91,150,,,
3,7,1000,91,150,,,
3,8,2,91,150,,,
3,8,3,91,150,,,
3,8,4,91,150,,,
3,8,1000,91,150,,,
3,8,1,91,150,,,
3,10,3,91,150,,,
3,10,1,91,150,,,
3,10,2,91,150,,,
3,10,4,91,150,,,
3,12,4,91,325,,,
3,12,1000,91,150,,,
3,12,1000,91,150,,,
3,12,1000,91,150,,,
3,12,3,91,150,,,
3,13,2,91,200,,,
3,13,3,91,200,,,
3,13,1000,91,200,,,
3,13,1000,91,200,,,
3,13,4,91,200,,,
